产品名称,品牌,类型,价格区间(元/kg),月销量,主要成分,适合对象,特点,数据来源,备注
爱慕思猫粮,爱慕思,猫粮,100-180,7500+,均衡营养,全年龄,宝洁旗下,大品牌,
冠能猫粮,冠能,猫粮,90-160,8200+,科学配方,全年龄,雀巢旗下,大品牌,
麦富迪狗粮,麦富迪,狗粮,50-100,60000+,均衡营养,全犬种,国产大牌,2025中国宠物食品榜首,
伯纳天纯狗粮,伯纳天纯,狗粮,80-150,35000+,天然配方,全犬种,品质稳定,小红书搜索量第一,⚠️ 有神经炎案例
馋不腻狗粮,馋不腻,狗粮,60-120,28000+,82%动物原料,易过敏犬,消化率95.2%,国产实力派,
宠率狗粮,宠率,狗粮,70-130,24000+,73%动物原料,全犬种,富含Omega-3,2万篇小红书好评,
乐顿狗粮,乐顿,狗粮,65-120,22000+,0谷物0色素,肠胃敏感,低敏配方,适合敏感犬,
鲜朗狗粮,鲜朗,狗粮,70-140,30000+,鲜肉配方,全犬种,适口性好,小红书搜索量第二,
纯福狗粮,纯福,狗粮,60-110,26000+,天然粮,全犬种,性价比高,小红书搜索量第三,
疯狂小狗狗粮,疯狂小狗,狗粮,50-100,32000+,均衡配方,小型犬,颗粒小,2025榜单第三,
皇家狗粮,皇家,狗粮,100-200,50000+,分龄分犬种,全犬种,科学配方,2025榜单第二,
渴望狗粮,渴望,狗粮,200-350,12000+,85%动物蛋白,全犬种,生物学适当,高端进口代表,
Canidae狗粮,Canidae,狗粮,150-250,7000+,无谷配方,全犬种,美国品牌,高品质,
Taste Of The Wild狗粮,Taste Of The Wild,狗粮,120-200,8500+,野生蛋白,全犬种,无谷,模拟野生饮食,
Nutrience狗粮,Nutrience,狗粮,130-220,6800+,加拿大配方,全犬种,营养均衡,进口品质,
Stella & Chewy's狗粮,Stella & Chewy's,狗粮,180-300,5200+,冻干生骨肉,全犬种,高蛋白,生食理念,
蓝氏狗粮,蓝氏,狗粮,100-180,18000+,天然配方,全犬种,无副产品,美国热门品牌,
比瑞吉狗粮,比瑞吉,狗粮,60-130,20000+,均衡营养,全犬种,国产老牌,销量稳定,
珍宝狗粮,珍宝,狗粮,50-100,19000+,经济型,全犬种,性价比高,入门级,
顽皮狗粮,顽皮,狗粮,55-110,17000+,均衡配方,全犬种,国产品牌,市场占有率高,
宝路狗粮,宝路,狗粮,40-80,25000+,经济型,全犬种,玛氏旗下,大品牌,
冠能狗粮,冠能,狗粮,90-160,16000+,科学配方,全犬种,雀巢旗下,大品牌,
爱慕思狗粮,爱慕思,狗粮,100-180,14000+,均衡营养,全犬种,宝洁旗下,大品牌,
福摩狗粮,福摩,狗粮,150-240,9000+,无谷配方,全犬种,美国品牌,进口品质,
爱肯拿狗粮,爱肯拿,狗粮,200-350,10000+,高蛋白,全犬种,渴望同厂,进口高端,
NOW狗粮,NOW,狗粮,150-250,8500+,无谷配方,全犬种,加拿大品牌,进口品质,
GO狗粮,GO,狗粮,140-230,8200+,无谷配方,全犬种,加拿大品牌,进口品质,
巅峰狗粮,巅峰,狗粮,300-500,4500+,风干生骨肉,全犬种,新西兰品牌,超高端,
K9狗粮,K9,狗粮,280-450,4200+,冻干生骨肉,全犬种,新西兰品牌,超高端,
百利狗粮,百利,狗粮,160-260,7500+,天然配方,全犬种,美国品牌,进口品质,
凌采狗粮,凌采,狗粮,120-200,8000+,露华浓代工,全犬种,台湾品牌,性价比高,
网易严选狗粮,网易严选,狗粮,60-130,22000+,严选供应链,全犬种,品质保证,2024线上GMV突破10亿,
诚实一口狗粮,诚实一口,狗粮,120-200,15000+,高蛋白配方,全犬种,增肥发腮,2024新锐品牌,
阿飞和巴弟狗粮,阿飞和巴弟,狗粮,100-180,12000+,益生菌配方,全犬种,肠胃友好,新兴品牌,
弗列加特狗粮,弗列加特,狗粮,70-140,18000+,均衡配方,全犬种,性价比高,2024天猫品牌成交榜第四,
妙修狗粮,妙修,狗粮,80-140,10000+,适口性好,全犬种,泪痕管理,2025推荐榜单,
宠巴适狗粮,宠巴适,狗粮,100-200,16000+,高动物蛋白,全犬种,成分透明可溯源,国产口碑品牌,
喵屿时光狗粮,喵屿时光,狗粮,80-150,9000+,鲜肉烘焙,全犬种,保留营养,烘焙粮,
爪爪引力狗粮,爪爪引力,狗粮,150-250,7000+,冻干生骨肉,全犬种,超低温锁鲜,高端冻干,
萌爪纪元狗粮,萌爪纪元,狗粮,120-200,8500+,功能性配方,分龄,针对特殊需求,兽医联合研发,
猫生研究所狗粮,猫生研究所,狗粮,100-180,8000+,实验室级透明,全犬种,原料可溯源,透明化生产,
咕噜星选狗粮,咕噜星选,狗粮,80-120,10000+,烘焙粮,全犬种,高性价比,百元价位千元品质,
希喂狗粮,希喂,狗粮,120-200,7500+,循证营养学配方,全犬种,原料可溯源,宠物医生推荐,
素力高狗粮,素力高,狗粮,180-280,6000+,美毛配方,全犬种,美毛效果显著,进口品牌,
欧恩焙狗粮,欧恩焙,狗粮,150-250,5500+,低温烘焙,全犬种,保留营养,进口品质,
怪兽部落狗粮,怪兽部落,狗粮,200-300,4500+,高鲜肉含量,全犬种,低敏无谷,高端品质,
Mobby莫比狗粮,Mobby,狗粮,120-200,5000+,低敏配方+益生菌,肠胃敏感,无谷,适合敏感犬,
Nu4PET狗粮,Nu4PET,狗粮,150-250,4000+,冻干+干粮,全犬种,低碳配方,体重管理,
Hyperr超跃狗粮,Hyperr,狗粮,180-280,4200+,冻干混合,全犬种,无谷,热门冻干粮,
梁小妖狗粮,梁小妖,狗粮,90-150,11000+,低敏配方,幼犬,新手友好,新锐品牌,
耐威克狗粮,耐威克,狗粮,45-90,23000+,经济型,全犬种,性价比高,国产大众品牌,
好主人狗粮,好主人,狗粮,40-85,21000+,经济型,全犬种,性价比高,国产大众品牌,
力狼狗粮,力狼,狗粮,50-100,18000+,均衡配方,全犬种,国产品牌,销量稳定,
佩玛思特狗粮,佩玛思特,狗粮,60-120,15000+,均衡营养,全犬种,国产品牌,性价比高,
雷米高狗粮,雷米高,狗粮,55-110,16000+,均衡配方,全犬种,国产老牌,市场占有率高,
